caseTitle,state,county,year,practiceArea,injuryType,resultType,amount,description,source
"Westling v. Raritan Township, et al.",New Jersey,,2024,Car Accident,Back Injury,settlement,1900000,"New Jersey settlement of $1,900,000 in 2024. Case type: Car Accidents, Government Negligence, Motor Vehicle Accidents, Personal Injury. Reported as Westling v. Raritan Township, et al.. Listed by TopVerdict.",TopVerdict
"Arellano v. Hartwig, et al.",California,Los-angeles,2024,Car Accident,Other,verdict,1887144,"California verdict of $1,887,144 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Two-Vehicle Accident. Reported as Arellano v. Hartwig, et al.. Listed by TopVerdict.",TopVerdict
"Motorist v. Company Vehicle Driver, et al.",Texas,,2024,Car Accident,Other,settlement,1850000,"Texas settlement of $1,850,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Gross Negligence. Reported as Motorist v. Company Vehicle Driver, et al.. Listed by TopVerdict.",TopVerdict
"Manzanares v. Urkudey, et al.",California,Los-angeles,2024,Car Accident,Other,verdict,1800000,"California verdict of $1,800,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Bodily Injury. Reported as Manzanares v. Urkudey, et al.. Listed by TopVerdict.",TopVerdict
"Toledano v. Haroonian, et al.",California,Los-angeles,2024,Car Accident,Other,verdict,1762492,"California verdict of $1,762,492 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Property Damage. Reported as Toledano v. Haroonian, et al.. Listed by TopVerdict.",TopVerdict
"Gaona v. Aboytes Transport, et al.",California,,2024,Car Accident,Traumatic Brain Injury,settlement,1750000,"California settlement of $1,750,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Brain Injury. Reported as Gaona v. Aboytes Transport, et al.. Listed by TopVerdict.",TopVerdict
"M.H. v. Company Driver, et al.",California,,2024,Car Accident,Other,settlement,1750000,"California settlement of $1,750,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Vehicular Accident. Reported as M.H. v. Company Driver, et al.. Listed by TopVerdict.",TopVerdict
"Sun v. City of New York, et al.",New York,,2024,Car Accident,Back Injury,settlement,1750000,"New York settlement of $1,750,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Bodily Injury. Reported as Sun v. City of New York, et al.. Listed by TopVerdict.",TopVerdict
"Bravo, et al. v. Moreno Valley Unif. Sch. Dist., et al.",California,,2024,Car Accident,Back Injury,verdict,1735036,"California verdict of $1,735,036 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Bodily Injury. Reported as Bravo, et al. v. Moreno Valley Unif. Sch. Dist., et al.. Listed by TopVerdict.",TopVerdict
"Q.S. v. Vernon, et al.",New Jersey,,2024,Car Accident,Traumatic Brain Injury,settlement,1730000,"New Jersey settlement of $1,730,000 in 2024. Case type: Car Accidents, Dram Shop Liability, Motor Vehicle Accidents, Personal Injury. Reported as Q.S. v. Vernon, et al.. Listed by TopVerdict.",TopVerdict
"Ball v. Boyko, et al.",Washington,,2024,Car Accident,Traumatic Brain Injury,verdict,1722562,"Washington verdict of $1,722,562 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Brain Injury. Reported as Ball v. Boyko, et al.. Listed by TopVerdict.",TopVerdict
,South Carolina,,2024,Car Accident,Neck Injury,settlement,1700000,"$1.7 million settlement; Cervical surgeries required to correct collision injury. Action: Mediation Date: Jan. 19, 2024 Nature of claim: Vehicle accident Injuries alleged: Neck injury necessitating two cervical fusion surgeries Amount: $1.7 million Case name: Withheld Case no: Withheld Court:",South Carolina Lawyers Weekly
Alvarado v. State of California,California,,2024,Car Accident,Back Injury,settlement,1700000,U-turn accident caused permanent disability.,TopVerdict
Fagundes v. Hernandez,California,,2024,Car Accident,Spinal Cord Injury,settlement,1699000,Left turn accident caused spinal injury.,TopVerdict
Landin v. Lozado,Texas,,2024,Car Accident,Spinal Cord Injury,settlement,1688019,Rear-end collision caused spinal injury.,TopVerdict
Auto Driver v. Negligent Motorist,California,,2024,Car Accident,Other,settlement,1650000,"California settlement of $1,650,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Bodily Injury. Reported as Auto Driver v. Negligent Motorist. Listed by TopVerdict.",TopVerdict
"Antonyan v. Blue Hill Spec. Ins. Co., Inc.",California,,2024,Car Accident,Back Injury,verdict,1615327,"California verdict of $1,615,327 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Underinsured Motorist. Reported as Antonyan v. Blue Hill Spec. Ins. Co., Inc.. Listed by TopVerdict.",TopVerdict
"Bobadilla-Sanchez, v. Alvarez, et al.",California,,2024,Car Accident,Other,settlement,1600000,"California settlement of $1,600,000 in 2024. Case type: Car Accident, Conspiracy, Motor Vehicle Accident, Personal Injury. Reported as Bobadilla-Sanchez, v. Alvarez, et al.. Listed by TopVerdict.",TopVerdict
Head-On Auto Collision (MI ZSK 2024),Michigan,,2024,Car Accident,Broken Bones,settlement,1600000,"Head-on auto collision caused shoulder, hip, and facial injuries to a woman.",News
Motorist v. Left-Turning Driver,Texas,,2024,Car Accident,Back Injury,settlement,1600000,"Texas settlement of $1,600,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Bodily Injury. Reported as Motorist v. Left-Turning Driver. Listed by TopVerdict.",TopVerdict
Sante v. Township of Montgomery,New Jersey,,2024,Car Accident,Traumatic Brain Injury,settlement,1600000,"New Jersey settlement of $1,600,000 in 2024. Case type: Car Accidents, Government Negligence, Personal Injury, Brain Injury. Reported as Sante v. Township of Montgomery. Listed by TopVerdict.",TopVerdict
,Indiana,Porter,2024,Car Accident,Other,verdict,1580000,"Indiana jury verdict of $1,580,000 in Porter County, reported as Auto Negligence.",Indiana Jury Verdict Reporter
"Warawita v. Weaver & Associates, Inc., et al.",California,,2024,Car Accident,Other,settlement,1575000,"California settlement of $1,575,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Bodily Injury. Reported as Warawita v. Weaver & Associates, Inc., et al.. Listed by TopVerdict.",TopVerdict
Rivera Rodriguez v. Park,California,,2024,Car Accident,Back Injury,settlement,1550000,"California settlement of $1,550,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Gross Negligence. Reported as Rivera Rodriguez v. Park. Listed by TopVerdict.",TopVerdict
,Louisiana,East Baton Rouge,2024,Car Accident,Other,verdict,1512000,"Louisiana jury verdict of $1,512,000 in East Baton Rouge Parish, reported as Auto Negligence.",Louisiana Jury Verdict Reporter
Motorist v. At-Fault Driver,Texas,,2024,Car Accident,Back Injury,settlement,1505025,"Texas settlement of $1,505,025 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Bodily Injury. Reported as Motorist v. At-Fault Driver. Listed by TopVerdict.",TopVerdict
R.F. v. R.S.,California,,2024,Car Accident,Back Injury,settlement,1505000,Red light T-bone collision caused injuries.,TopVerdict
Chang v. Webb,California,,2024,Car Accident,Other,settlement,1500000,"California settlement of $1,500,000 in 2024. Case type: Motor Vehicle Accident, Personal Injury, Negligent Tort, Bodily Injury. Reported as Chang v. Webb. Listed by TopVerdict.",TopVerdict
"Driver of Rolled Over Car v. Auto Driver, et al.",California,,2024,Car Accident,Traumatic Brain Injury,settlement,1500000,"California settlement of $1,500,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Brain Injury. Reported as Driver of Rolled Over Car v. Auto Driver, et al.. Listed by TopVerdict.",TopVerdict
Passenger v. Progressive Ins.,Texas,,2024,Car Accident,Traumatic Brain Injury,settlement,1500000,"Texas settlement of $1,500,000 in 2024. Case type: Motor Vehicle Accident, Personal Injury, Brain Injury, Negligent Tort. Reported as Passenger v. Progressive Ins.. Listed by TopVerdict.",TopVerdict
"Pippin v. Myluu Ly, et al.",California,,2024,Car Accident,Back Injury,settlement,1500000,"California settlement of $1,500,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Bodily Injury. Reported as Pippin v. Myluu Ly, et al.. Listed by TopVerdict.",TopVerdict
"Portillo v. Kogan, et al.",California,,2024,Car Accident,Back Injury,settlement,1500000,"California settlement of $1,500,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Bodily Injury. Reported as Portillo v. Kogan, et al.. Listed by TopVerdict.",TopVerdict
Riley v. Witkop,California,,2024,Car Accident,Other,settlement,1500000,Scooter struck by a vehicle.,TopVerdict
Injured Motorists v. At-Fault Freeway Driver,California,,2024,Car Accident,Other,settlement,1499996,"California settlement of $1,499,996 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Head-on Collision. Reported as Injured Motorists v. At-Fault Freeway Driver. Listed by TopVerdict.",TopVerdict
F.A. v. Company Driver,California,,2024,Car Accident,Broken Bones,settlement,1450000,Stop sign violation caused bone fractures.,TopVerdict
"Injured Driver v. At-Fault Driver, et al.",California,,2024,Car Accident,Back Injury,settlement,1420000,"California settlement of $1,420,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Bodily Injury. Reported as Injured Driver v. At-Fault Driver, et al.. Listed by TopVerdict.",TopVerdict
"Motor Vehicle Passenger v. Motorist, et al.",Texas,,2024,Car Accident,Back Injury,settlement,1402500,"Texas settlement of $1,402,500 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Bodily Injury. Reported as Motor Vehicle Passenger v. Motorist, et al.. Listed by TopVerdict.",TopVerdict
Oatis v. Robert,Louisiana,Orleans,2024,Car Accident,Herniated Disc,verdict,1401790,"Louisiana jury verdict of $1,401,790 in Orleans Parish (2024).",Louisiana Jury Verdict Reporter
,Indiana,Elkhart,2024,Car Accident,Other,verdict,1400000,"Indiana jury verdict of $1,400,000 in Elkhart County, reported as Auto Negligence.",Indiana Jury Verdict Reporter
M.A. v. A.H. (TX),Texas,,2024,Car Accident,Spinal Cord Injury,settlement,1400000,Motor vehicle accident caused bone fractures and spinal injury.,TopVerdict
"M.A., et al. v. A. H.",Texas,,2024,Car Accident,Back Injury,settlement,1400000,"Texas settlement of $1,400,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Bodily Injury. Reported as M.A., et al. v. A. H.. Listed by TopVerdict.",TopVerdict
"Magliano v. NJ Transit, et al.",New Jersey,,2024,Car Accident,Broken Bones,settlement,1400000,"New Jersey settlement of $1,400,000 in 2024. Case type: Car Accidents, Government Negligence, Motor Vehicle Accidents, Personal Injury. Reported as Magliano v. NJ Transit, et al.. Listed by TopVerdict.",TopVerdict
"Dawson v. Rodriguez, et al.",Florida,,2024,Car Accident,Back Injury,verdict,1383435,"Florida verdict of $1,383,435 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Vicarious Liability. Reported as Dawson v. Rodriguez, et al.. Listed by TopVerdict.",TopVerdict
"McVey v. Oberting, et al.",Florida,,2024,Car Accident,Back Injury,verdict,1370000,"Florida verdict of $1,370,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Bodily Injury. Reported as McVey v. Oberting, et al.. Listed by TopVerdict.",TopVerdict
"Bigoness v. Krane, et al.",Illinois,,2024,Car Accident,Back Injury,verdict,1362382,"Illinois verdict of $1,362,382 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Bodily Injury. Reported as Bigoness v. Krane, et al.. Listed by TopVerdict.",TopVerdict
"Suleman v. G&M Building Supply Inc., et al.",New York,,2024,Car Accident,Back Injury,verdict,1350000,"New York verdict of $1,350,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Vicarious Liability. Reported as Suleman v. G&M Building Supply Inc., et al.. Listed by TopVerdict.",TopVerdict
"Madison v. Simeon, et al.",New York,,2024,Car Accident,Back Injury,verdict,1343000,"New York verdict of $1,343,000 in 2024. Case type: Car Accident, Falling Object, Motor Vehicle Accident, Personal Injury. Reported as Madison v. Simeon, et al.. Listed by TopVerdict.",TopVerdict
Auto Driver v. Commercial Vehicle Owner,California,,2024,Car Accident,Back Injury,settlement,1325000,"California settlement of $1,325,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Negligence in Employment, Personal Injury. Reported as Auto Driver v. Commercial Vehicle Owner. Listed by TopVerdict.",TopVerdict
"Martinez v. Centerpoint Energy Res. Corp., et al.",Texas,,2024,Car Accident,Other,verdict,1309122,"Texas verdict of $1,309,122 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Vehicular Accident. Reported as Martinez v. Centerpoint Energy Res. Corp., et al.. Listed by TopVerdict.",TopVerdict
"Pehl v. Burns, et al.",Washington,,2024,Car Accident,Burns,verdict,1301000,"Washington verdict of $1,301,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Bodily Injury. Reported as Pehl v. Burns, et al.. Listed by TopVerdict.",TopVerdict
"Harrington v. Singh, et al.",California,,2024,Car Accident,Other,settlement,1300000,"California settlement of $1,300,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Property Damage. Reported as Harrington v. Singh, et al.. Listed by TopVerdict.",TopVerdict
Moskowitz v. Lwin et al.,Florida,,2024,Car Accident,Other,verdict,1300000,"Florida verdict of $1,300,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Bodily Injury. Reported as Moskowitz v. Lwin et al.. Listed by TopVerdict.",TopVerdict
Plaintiff v. Construction Contracting Company,Texas,,2024,Car Accident,Back Injury,settlement,1300000,"Texas settlement of $1,300,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Bodily Injury. Reported as Plaintiff v. Construction Contracting Company. Listed by TopVerdict.",TopVerdict
"Willabus Jr., et al. v. Ross, et al.",New York,,2024,Car Accident,Back Injury,settlement,1300000,"New York settlement of $1,300,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Bodily Injury. Reported as Willabus Jr., et al. v. Ross, et al.. Listed by TopVerdict.",TopVerdict
"Grisales v. Godding, et al.",California,,2024,Car Accident,Other,verdict,1275000,"California verdict of $1,275,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Bodily Injury. Reported as Grisales v. Godding, et al.. Listed by TopVerdict.",TopVerdict
Soto-Maravilla v. Vandeusen,California,,2024,Car Accident,Back Injury,settlement,1265000,Stop sign T-bone collision caused injuries.,TopVerdict
"Auto Driver v. Auto Driver, et al.",California,,2024,Car Accident,Other,settlement,1250000,"California settlement of $1,250,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Bodily Injury. Reported as Auto Driver v. Auto Driver, et al.. Listed by TopVerdict.",TopVerdict
"Finley v. City of Ridgecrest, et al.",California,,2024,Car Accident,Back Injury,settlement,1250000,"California settlement of $1,250,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Bodily Injury. Reported as Finley v. City of Ridgecrest, et al.. Listed by TopVerdict.",TopVerdict
"Injured Auto Driver v. Auto Driver, et al.",California,,2024,Car Accident,Back Injury,settlement,1250000,"California settlement of $1,250,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Abuse of Power. Reported as Injured Auto Driver v. Auto Driver, et al.. Listed by TopVerdict.",TopVerdict
"Injured Driver v. Auto Driver, et al.",California,,2024,Car Accident,Back Injury,settlement,1250000,"California settlement of $1,250,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Emotional Distress. Reported as Injured Driver v. Auto Driver, et al.. Listed by TopVerdict.",TopVerdict
Injured Driver v. Sideswiping Motorist,California,,2024,Car Accident,Traumatic Brain Injury,settlement,1250000,"California settlement of $1,250,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Brain Injury. Reported as Injured Driver v. Sideswiping Motorist. Listed by TopVerdict.",TopVerdict
"Injured Plaintiff v. Auto Driver, et al.",California,,2024,Car Accident,Other,settlement,1250000,"California settlement of $1,250,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Bodily Injury. Reported as Injured Plaintiff v. Auto Driver, et al.. Listed by TopVerdict.",TopVerdict
"Udo v. Auto Driver, et al.",California,,2024,Car Accident,Wrongful Death,settlement,1250000,"California settlement of $1,250,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Wrongful Death. Reported as Udo v. Auto Driver, et al.. Listed by TopVerdict.",TopVerdict
"Auto Driver v. At-Fault Auto Driver, et al.",California,,2024,Car Accident,Back Injury,settlement,1249999,"California settlement of $1,249,999 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Bodily Injury. Reported as Auto Driver v. At-Fault Auto Driver, et al.. Listed by TopVerdict.",TopVerdict
"Ramos, et al. v. Fischer",Texas,,2024,Car Accident,Other,verdict,1240000,"Texas verdict of $1,240,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Two-Vehicle Accident. Reported as Ramos, et al. v. Fischer. Listed by TopVerdict.",TopVerdict
"Auto Driver, et al. v. Inattentive Driver",California,,2024,Car Accident,Other,settlement,1225000,"California settlement of $1,225,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Bodily Injury. Reported as Auto Driver, et al. v. Inattentive Driver. Listed by TopVerdict.",TopVerdict
"Duraipandian v. Miller, et al.",California,,2024,Car Accident,Other,verdict,1214147,"California verdict of $1,214,147 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Bodily Injury. Reported as Duraipandian v. Miller, et al.. Listed by TopVerdict.",TopVerdict
,New Jersey,,2024,Car Accident,Wrongful Death,verdict,1200000,Car Accident jury verdict of $1.2 million in New Jersey.,News
Brodniak v. Solterra Recycling Solutions,New Jersey,,2024,Car Accident,Back Injury,verdict,1200000,"New Jersey verdict of $1,200,000 in 2024. Case type: Motor Vehicle Accident, Negligence in Employment, Personal Injury, Failure to Supervise. Reported as Brodniak v. Solterra Recycling Solutions. Listed by TopVerdict.",TopVerdict
"Crosthwaite v. Morales, et al.",California,,2024,Car Accident,Back Injury,settlement,1200000,"California settlement of $1,200,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Bodily Injury. Reported as Crosthwaite v. Morales, et al.. Listed by TopVerdict.",TopVerdict
Glass-Hammill v. Monroe,Texas,,2024,Car Accident,Spinal Cord Injury,settlement,1200000,Impaired driving caused permanent spinal injury.,TopVerdict
"Plaintiff v. Defendant, et al.",New York,,2024,Car Accident,Back Injury,settlement,1200000,"New York settlement of $1,200,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Bodily Injury. Reported as Plaintiff v. Defendant, et al.. Listed by TopVerdict.",TopVerdict
"Yoo v. Hanczor, et al.",New York,,2024,Car Accident,Other,settlement,1200000,"New York settlement of $1,200,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Multi-Vehicle Accident. Reported as Yoo v. Hanczor, et al.. Listed by TopVerdict.",TopVerdict
Reid v. Harris,Georgia,,2024,Car Accident,Other,verdict,1171836,"Georgia verdict of $1,171,836 in 2024. Case type: Car Accidents, Motor Vehicle Accidents, Personal Injury, Multi-Vehicle Accidents. Reported as Reid v. Harris. Listed by TopVerdict.",TopVerdict
"Cruz III v. Caneiro, et al.",Florida,,2024,Car Accident,Other,verdict,1127151,"Florida verdict of $1,127,151 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Vicarious Liability. Reported as Cruz III v. Caneiro, et al.. Listed by TopVerdict.",TopVerdict
"Judd, et al. v. Apter",New Jersey,,2024,Car Accident,Other,settlement,1125000,"New Jersey settlement of $1,125,000 in 2024. Case type: Car Accidents, Motor Vehicle Accidents, Personal Injury, Nonfatal Bodily Injury. Reported as Judd, et al. v. Apter. Listed by TopVerdict.",TopVerdict
"Masseroni v. Bowman, et al.",Florida,,2024,Car Accident,Other,verdict,1116698,"Florida verdict of $1,116,698 in 2024. Case type: Assault & Battery, Motor Vehicle Accident, Personal Injury, Emotional Distress. Reported as Masseroni v. Bowman, et al.. Listed by TopVerdict.",TopVerdict
Mercado-Reinoso v. Gutierrez-Dominguez,New Jersey,,2024,Car Accident,Back Injury,settlement,1100000,"New Jersey settlement of $1,100,000 in 2024. Case type: Car Accidents, Motor Vehicle Accidents, Personal Injury, Single-Vehicle Accidents. Reported as Mercado-Reinoso v. Gutierrez-Dominguez. Listed by TopVerdict.",TopVerdict
"Page v. Patel, et al.",Florida,,2024,Car Accident,Other,verdict,1100000,"Florida verdict of $1,100,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Vehicular Accident. Reported as Page v. Patel, et al.. Listed by TopVerdict.",TopVerdict
"Pressley v. Galasso, et al.",Florida,,2024,Car Accident,Other,verdict,1100000,"Florida verdict of $1,100,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Vehicular Accident. Reported as Pressley v. Galasso, et al.. Listed by TopVerdict.",TopVerdict
"Bromell v. Latulippe, et al.",Florida,,2024,Car Accident,Other,verdict,1080649,"Florida verdict of $1,080,649 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Vehicular Accident. Reported as Bromell v. Latulippe, et al.. Listed by TopVerdict.",TopVerdict
Allen v. SL Nabors Commercial/Residential Roofing Ltd.,Texas,,2024,Car Accident,Other,verdict,1078744,"Texas verdict of $1,078,744 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Vehicular Accident. Reported as Allen v. SL Nabors Commercial/Residential Roofing Ltd.. Listed by TopVerdict.",TopVerdict
Hill v. Bacall,California,,2024,Car Accident,Wrongful Death,settlement,1075000,Rear-end collision resulted in wrongful death.,TopVerdict
"Lim, et al. v. Paduchuri",Georgia,,2024,Car Accident,Other,verdict,1066253,"Georgia verdict of $1,066,253 in 2024. Case type: Car Accidents, Motor Vehicle Accidents, Personal Injury, Nonfatal Bodily Injury. Reported as Lim, et al. v. Paduchuri. Listed by TopVerdict.",TopVerdict
"Motorist, et al. v. Motorist",Texas,,2024,Car Accident,Other,settlement,1046600,"Texas settlement of $1,046,600 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Gross Negligence. Reported as Motorist, et al. v. Motorist. Listed by TopVerdict.",TopVerdict
"Betancourt v. Diaz, et al.",California,Los-angeles,2024,Car Accident,Wrongful Death,verdict,1045500,"California verdict of $1,045,500 in 2024. Case type: Motor Vehicle Accident, Wrongful Death, Impaired Driving Accident, Single-Vehicle Accident. Reported as Betancourt v. Diaz, et al.. Listed by TopVerdict.",TopVerdict
"Drewes v. Youmans, et al.",Florida,,2024,Car Accident,Other,verdict,1043588,"Florida verdict of $1,043,588 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Bodily Injury. Reported as Drewes v. Youmans, et al.. Listed by TopVerdict.",TopVerdict
Injured Motorists v. Rideshare Company,Texas,,2024,Car Accident,Back Injury,settlement,1042832,"Texas settlement of $1,042,832 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Bodily Injury. Reported as Injured Motorists v. Rideshare Company. Listed by TopVerdict.",TopVerdict
"Joshua Priddy v. Amy Bennett, et al.",Florida,,2024,Car Accident,Other,verdict,1042607,"Florida verdict of $1,042,607 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Vehicular Accident. Reported as Joshua Priddy v. Amy Bennett, et al.. Listed by TopVerdict.",TopVerdict
Motorist v. Negligent Commercial Motorist,Texas,,2024,Car Accident,Back Injury,settlement,1035319,"Texas settlement of $1,035,319 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Bodily Injury. Reported as Motorist v. Negligent Commercial Motorist. Listed by TopVerdict.",TopVerdict
"Evans v. White, et al.",Florida,,2024,Car Accident,Other,verdict,1035173,"Florida verdict of $1,035,173 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Vehicular Accident. Reported as Evans v. White, et al.. Listed by TopVerdict.",TopVerdict
"Baek, et al. v. Coronel, et al.",New York,,2024,Car Accident,Other,settlement,1030000,"New York settlement of $1,030,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Bodily Injury. Reported as Baek, et al. v. Coronel, et al.. Listed by TopVerdict.",TopVerdict
"Cummings v. Taylor, et al.",Virginia,Loudoun,2024,Car Accident,Multiple Injuries,settlement,1025000,A head-on collision caused by a driver with a blood alcohol concentration near four times the legal limit. The commercial insurer initially denied coverage before the claim resolved.,News
"Giessman v. Giles, et al.",Florida,,2024,Car Accident,Other,verdict,1012533,"Florida verdict of $1,012,533 in 2024. Case type: Car Accident, Insurance Bad Faith, Motor Vehicle Accident, Personal Injury. Reported as Giessman v. Giles, et al.. Listed by TopVerdict.",TopVerdict
"Barkley, et al. v. Union Pac. R.R. Co.",Texas,,2024,Car Accident,Back Injury,verdict,1006000,"Texas verdict of $1,006,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Railroad Accident. Reported as Barkley, et al. v. Union Pac. R.R. Co.. Listed by TopVerdict.",TopVerdict
"Faulkner v. Frantzis, et al.",Florida,,2024,Car Accident,Other,verdict,1004362,"Florida verdict of $1,004,362 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Vicarious Liability. Reported as Faulkner v. Frantzis, et al.. Listed by TopVerdict.",TopVerdict
Yates v. Flood Distribution LLC,Texas,,2024,Car Accident,Traumatic Brain Injury,settlement,1002500,Motor vehicle accident caused brain and spinal injuries.,TopVerdict
"A.S. v. At-Fault Driver, et al.",California,,2024,Car Accident,Other,settlement,1000000,"California settlement of $1,000,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Bodily Injury. Reported as A.S. v. At-Fault Driver, et al.. Listed by TopVerdict.",TopVerdict
"Abdellatif v. Cetiz Enterprise, Inc., et al.",California,,2024,Car Accident,Back Injury,settlement,1000000,"California settlement of $1,000,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Bodily Injury. Reported as Abdellatif v. Cetiz Enterprise, Inc., et al.. Listed by TopVerdict.",TopVerdict
"Aguayo v. Kwok, et al.",California,,2024,Car Accident,Back Injury,verdict,1000000,"California verdict of $1,000,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Bodily Injury. Reported as Aguayo v. Kwok, et al.. Listed by TopVerdict.",TopVerdict
"Auto Driver v. Auto Driver, et al.",California,,2024,Car Accident,Broken Bones,settlement,1000000,"California settlement of $1,000,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Bodily Injury. Reported as Auto Driver v. Auto Driver, et al.. Listed by TopVerdict.",TopVerdict
"Auto Driver v. Inattentive Driver, et al.",California,,2024,Car Accident,Other,settlement,1000000,"California settlement of $1,000,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Two-Vehicle Accident. Reported as Auto Driver v. Inattentive Driver, et al.. Listed by TopVerdict.",TopVerdict
"Auto Driver, et al. v. Uber, et al.",California,,2024,Car Accident,Back Injury,settlement,1000000,"California settlement of $1,000,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Bodily Injury. Reported as Auto Driver, et al. v. Uber, et al.. Listed by TopVerdict.",TopVerdict
"B.E. v. At-Fault Company, et al.",California,,2024,Car Accident,Other,settlement,1000000,"California settlement of $1,000,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Bodily Injury. Reported as B.E. v. At-Fault Company, et al.. Listed by TopVerdict.",TopVerdict
"Bermudez v. Western Pump Inc., et al.",California,,2024,Car Accident,Traumatic Brain Injury,settlement,1000000,"California settlement of $1,000,000 in 2024. Case type: Car Accident, Motor Vehicle Accident, Personal Injury, Brain Injury. Reported as Bermudez v. Western Pump Inc., et al.. Listed by TopVerdict.",TopVerdict
